Afghanistan,upload.wikimedia.org/wikipedia/commons/d/d8/Arms_of_the_Islamic_Emirate_of_Afghanistan.svg
Afghanistan,upload.wikimedia.org/wikipedia/commons/5/5d/Emblem_of_Afghanistan_%282004%E2%80%932021%29.svg
Albania,upload.wikimedia.org/wikipedia/commons/6/6e/Coat_of_arms_of_Albania.svg
Algeria,upload.wikimedia.org/wikipedia/commons/d/df/Emblem_of_Algeria.svg
Andorra,upload.wikimedia.org/wikipedia/commons/4/4e/Coat_of_arms_of_Andorra.svg
Angola,upload.wikimedia.org/wikipedia/commons/f/ff/Emblem_of_Angola.svg
Antigua and Barbuda,upload.wikimedia.org/wikipedia/commons/3/30/Coat_of_arms_of_Antigua_and_Barbuda.svg
Argentina,upload.wikimedia.org/wikipedia/commons/f/ff/Coat_of_arms_of_Argentina.svg
Armenia,upload.wikimedia.org/wikipedia/commons/0/0f/Coat_of_arms_of_Armenia.svg
Australia,upload.wikimedia.org/wikipedia/commons/f/f8/Coat_of_Arms_of_Australia.svg
Austria,upload.wikimedia.org/wikipedia/commons/a/a0/Austria_Bundesadler.svg
Azerbaijan,upload.wikimedia.org/wikipedia/commons/6/6b/Emblem_of_Azerbaijan.svg
Bahamas,upload.wikimedia.org/wikipedia/commons/8/8a/Coat_of_arms_of_the_Bahamas.svg
Bahrain,upload.wikimedia.org/wikipedia/commons/6/6d/Emblem_of_Bahrain.svg
Bangladesh,upload.wikimedia.org/wikipedia/commons/8/81/National_emblem_of_Bangladesh.svg
Bangladesh,upload.wikimedia.org/wikipedia/commons/8/84/Government_Seal_of_Bangladesh.svg
Barbados,upload.wikimedia.org/wikipedia/commons/1/1b/Coat_of_arms_of_Barbados_%283%29.svg
Belarus,upload.wikimedia.org/wikipedia/commons/4/48/Coat_of_arms_of_Belarus_%282020%E2%80%93present%29.svg
Belgium,upload.wikimedia.org/wikipedia/commons/f/f1/Great_coat_of_arms_of_Belgium.svg
Belize,upload.wikimedia.org/wikipedia/commons/d/dd/Coat_of_arms_of_Belize.svg
Benin,upload.wikimedia.org/wikipedia/commons/1/13/Coat_of_arms_of_Benin.svg
Bhutan,upload.wikimedia.org/wikipedia/commons/e/eb/Emblem_of_Bhutan.svg
Bolivia,upload.wikimedia.org/wikipedia/commons/0/06/Coat_of_arms_of_Bolivia.svg
Bosnia and Herzegovina,upload.wikimedia.org/wikipedia/commons/d/d4/Coat_of_arms_of_Bosnia_and_Herzegovina.svg
Botswana,upload.wikimedia.org/wikipedia/commons/d/de/Coat_of_arms_of_Botswana.svg
Brazil,upload.wikimedia.org/wikipedia/commons/b/bf/Coat_of_arms_of_Brazil.svg
Brazil,upload.wikimedia.org/wikipedia/commons/c/c2/National_Seal_of_Brazil_%28color%29.svg
Brunei,upload.wikimedia.org/wikipedia/commons/0/09/Emblem_of_Brunei.svg
Bulgaria,upload.wikimedia.org/wikipedia/commons/2/24/Coat_of_arms_of_Bulgaria.svg
Burkina Faso,upload.wikimedia.org/wikipedia/commons/9/96/Coat_of_arms_of_Burkina_Faso.svg
Burundi,upload.wikimedia.org/wikipedia/commons/f/fd/Coat_of_arms_of_Burundi.svg
Cambodia,upload.wikimedia.org/wikipedia/commons/1/1e/Royal_arms_of_Cambodia.svg
Cameroon,upload.wikimedia.org/wikipedia/commons/b/b5/Coat_of_arms_of_Cameroon.svg
Cape Verde,upload.wikimedia.org/wikipedia/commons/c/ce/Coat_of_arms_of_Cape_Verde.svg
Central African Republic,upload.wikimedia.org/wikipedia/commons/0/0a/Coat_of_arms_of_the_Central_African_Republic.svg
Chad,upload.wikimedia.org/wikipedia/commons/c/c1/Coat_of_arms_of_Chad.svg
Chile,upload.wikimedia.org/wikipedia/commons/5/5b/Coat_of_arms_of_Chile.svg
China,upload.wikimedia.org/wikipedia/commons/a/ab/National_Emblem_of_the_People%27s_Republic_of_China_%282%29.svg
Colombia,upload.wikimedia.org/wikipedia/commons/e/ef/Coat_of_arms_of_Colombia.svg
Comoros,upload.wikimedia.org/wikipedia/commons/8/8c/Seal_of_the_Comoros.svg
Democratic Republic of the Congo,upload.wikimedia.org/wikipedia/commons/6/66/Coat_of_arms_of_the_Democratic_Republic_of_the_Congo_%28grey_spear%29.svg
Republic of the Congo,upload.wikimedia.org/wikipedia/commons/d/d8/Coat_of_arms_of_the_Republic_of_the_Congo.svg
Costa Rica,upload.wikimedia.org/wikipedia/commons/8/84/Coat_of_arms_of_Costa_Rica.svg
Croatia,upload.wikimedia.org/wikipedia/commons/c/c9/Coat_of_arms_of_Croatia.svg
Cuba,upload.wikimedia.org/wikipedia/commons/5/58/Coat_of_arms_of_Cuba.svg
Cyprus,upload.wikimedia.org/wikipedia/commons/d/da/Coat_of_arms_of_Cyprus_%282006%29.svg
